job,education,default,housing,loan,month,campaign,previous,poutcome
admin.,secondary,no,yes,no,may,1,0,unknown
admin.,secondary,no,no,no,may,1,0,unknown
technician,secondary,no,yes,no,may,1,0,unknown
services,secondary,no,yes,no,may,1,0,unknown
admin.,tertiary,no,no,no,may,2,0,unknown
management,tertiary,no,yes,yes,may,2,0,unknown
management,tertiary,no,yes,yes,may,1,0,unknown
retired,secondary,no,yes,no,may,1,0,unknown
technician,secondary,no,yes,no,may,1,0,unknown
services,secondary,no,yes,no,may,3,0,unknown
admin.,secondary,no,yes,no,may,1,0,unknown
blue-collar,secondary,no,yes,no,may,2,0,unknown
management,tertiary,no,yes,yes,may,4,0,unknown
blue-collar,tertiary,no,yes,no,may,2,0,unknown
technician,tertiary,no,yes,no,may,2,0,unknown
management,tertiary,no,yes,no,may,1,0,unknown
blue-collar,primary,no,yes,no,may,3,0,unknown
services,secondary,no,yes,no,may,1,0,unknown
admin.,secondary,no,yes,no,may,2,0,unknown
admin.,secondary,no,yes,yes,may,1,0,unknown
admin.,secondary,no,yes,no,may,2,0,unknown
management,tertiary,no,yes,no,may,1,0,unknown
management,tertiary,no,yes,no,may,2,0,unknown
blue-collar,primary,no,yes,no,may,2,0,unknown
unemployed,secondary,no,yes,no,may,2,0,unknown
blue-collar,secondary,no,yes,no,may,4,0,unknown
technician,tertiary,no,yes,no,may,3,0,unknown
blue-collar,secondary,no,yes,no,may,3,0,unknown
admin.,secondary,no,yes,no,may,1,0,unknown
blue-collar,secondary,no,yes,no,may,1,0,unknown
blue-collar,secondary,yes,yes,no,may,1,0,unknown
technician,primary,no,yes,no,may,2,0,unknown
blue-collar,secondary,no,yes,no,may,1,0,unknown
blue-collar,secondary,no,yes,no,may,2,0,unknown
blue-collar,primary,no,yes,no,may,2,0,unknown
management,tertiary,no,no,no,may,2,0,unknown
blue-collar,primary,no,no,no,may,4,0,unknown
management,secondary,no,yes,no,may,1,0,unknown
management,tertiary,no,yes,no,may,4,0,unknown
entrepreneur,primary,no,yes,no,may,2,0,unknown
blue-collar,primary,no,yes,yes,may,1,0,unknown
management,tertiary,no,yes,no,may,2,0,unknown
entrepreneur,tertiary,no,yes,no,may,1,0,unknown
blue-collar,secondary,no,yes,no,may,4,0,unknown
management,unknown,no,yes,no,may,1,0,unknown
blue-collar,primary,no,yes,no,may,2,0,unknown
technician,secondary,no,yes,no,may,2,0,unknown
housemaid,secondary,no,yes,no,may,3,0,unknown
technician,primary,no,yes,no,may,1,0,unknown
