age,marital,education,balance,housing,contact,day,duration,pdays,deposit
48,divorced,primary,24,yes,unknown,14,832,-1,yes
41,single,primary,1618,yes,unknown,14,1553,-1,yes
39,divorced,tertiary,517,yes,unknown,14,1328,-1,yes
59,married,secondary,1521,yes,unknown,14,1125,-1,yes
41,married,secondary,2823,yes,unknown,14,858,-1,yes
48,married,secondary,1405,yes,unknown,14,629,-1,yes
40,married,secondary,1535,yes,unknown,14,704,-1,yes
48,married,secondary,1596,yes,unknown,14,760,-1,yes
60,married,primary,1542,yes,unknown,14,930,-1,yes
40,single,unknown,3652,yes,unknown,14,1028,-1,yes
57,married,tertiary,-1,no,unknown,14,850,-1,yes
51,married,secondary,7180,yes,unknown,14,927,-1,yes
41,divorced,secondary,5291,yes,unknown,14,1423,-1,yes
41,married,secondary,1384,yes,unknown,15,1162,-1,yes
52,divorced,primary,-191,yes,unknown,15,755,-1,yes
59,married,primary,320,yes,unknown,15,695,-1,yes
44,married,unknown,146,yes,unknown,15,483,-1,yes
49,married,primary,341,yes,unknown,15,520,-1,yes
40,married,primary,-9,yes,unknown,15,920,-1,yes
41,married,primary,-306,yes,unknown,15,500,-1,yes
44,married,tertiary,4580,yes,unknown,15,911,-1,yes
60,single,primary,313,yes,unknown,15,920,-1,yes
29,married,tertiary,10576,no,unknown,15,1224,-1,yes
41,divorced,primary,-233,yes,unknown,15,1156,-1,yes
41,married,primary,2453,yes,unknown,15,1052,-1,yes
42,single,secondary,1364,yes,unknown,15,1867,-1,yes
36,single,unknown,281,yes,unknown,16,515,-1,yes
39,married,tertiary,94,yes,unknown,16,813,-1,yes
31,single,tertiary,144,yes,unknown,16,676,-1,yes
26,married,secondary,246,yes,unknown,16,1143,-1,yes
31,married,secondary,92,yes,unknown,16,688,-1,yes
29,single,secondary,163,yes,unknown,16,803,-1,yes
37,divorced,secondary,49,yes,unknown,16,619,-1,yes
33,single,secondary,-416,yes,unknown,16,767,-1,yes
24,single,secondary,409,yes,unknown,16,912,-1,yes
50,divorced,secondary,363,yes,unknown,16,1340,-1,yes
27,single,tertiary,3706,yes,unknown,16,897,-1,yes
54,single,tertiary,4393,yes,unknown,16,1297,-1,yes
30,single,secondary,863,yes,unknown,16,1193,-1,yes
34,married,primary,695,yes,unknown,16,1064,-1,yes
37,single,secondary,792,yes,unknown,16,1187,-1,yes
41,single,secondary,1020,yes,unknown,19,882,-1,yes
47,married,secondary,863,yes,unknown,19,943,-1,yes
31,married,secondary,97,yes,unknown,19,607,-1,yes
31,married,secondary,754,yes,unknown,19,1022,-1,yes
43,divorced,secondary,1040,yes,unknown,19,552,-1,yes
37,divorced,tertiary,122,yes,unknown,19,1622,-1,yes
30,single,tertiary,880,yes,unknown,19,967,-1,yes
41,married,secondary,501,yes,unknown,19,579,-1,yes
36,married,secondary,4438,yes,unknown,20,446,-1,yes
