age,marital,education,balance,housing,contact,day,duration,pdays,deposit
41,single,primary,1618,yes,unknown,14,1553,-1,yes
59,married,secondary,1521,yes,unknown,14,1125,-1,yes
41,married,secondary,2823,yes,unknown,14,858,-1,yes
48,married,secondary,1405,yes,unknown,14,629,-1,yes
40,married,secondary,1535,yes,unknown,14,704,-1,yes
48,married,secondary,1596,yes,unknown,14,760,-1,yes
60,married,primary,1542,yes,unknown,14,930,-1,yes
40,single,unknown,3652,yes,unknown,14,1028,-1,yes
51,married,secondary,7180,yes,unknown,14,927,-1,yes
41,divorced,secondary,5291,yes,unknown,14,1423,-1,yes
41,married,secondary,1384,yes,unknown,15,1162,-1,yes
44,married,tertiary,4580,yes,unknown,15,911,-1,yes
29,married,tertiary,10576,no,unknown,15,1224,-1,yes
41,married,primary,2453,yes,unknown,15,1052,-1,yes
42,single,secondary,1364,yes,unknown,15,1867,-1,yes
27,single,tertiary,3706,yes,unknown,16,897,-1,yes
54,single,tertiary,4393,yes,unknown,16,1297,-1,yes
41,single,secondary,1020,yes,unknown,19,882,-1,yes
43,divorced,secondary,1040,yes,unknown,19,552,-1,yes
36,married,secondary,4438,yes,unknown,20,446,-1,yes
